"13mx -- Vanhojen osakeasuntojen neliöhinnat ja kauppojen lukumäärät kunnittain, vuosittain, 2006-2024"

"Vuosi";"Kunta";"Talotyyppi";"Neliöhinta (EUR/m2)"
"2018";"Oulu";"Rivitalot";1709
"2018";"Oulu";"Kerrostalot";2050
"2018";"Turku";"Rivitalot";2436
"2018";"Turku";"Kerrostalot";2359
"2018";"Vantaa";"Rivitalot";2943
"2018";"Vantaa";"Kerrostalot";2603
"2019";"Espoo";"Rivitalot";3511
"2019";"Espoo";"Kerrostalot";3685
"2019";"Helsinki";"Rivitalot";3573
"2019";"Helsinki";"Kerrostalot";5257
"2019";"Oulu";"Rivitalot";1719
"2019";"Oulu";"Kerrostalot";2098
"2019";"Turku";"Rivitalot";2488
"2019";"Turku";"Kerrostalot";2455
"2019";"Vantaa";"Rivitalot";2989
"2019";"Vantaa";"Kerrostalot";2642
"2020";"Espoo";"Rivitalot";3636
"2020";"Espoo";"Kerrostalot";3769
"2020";"Helsinki";"Rivitalot";3681
"2020";"Helsinki";"Kerrostalot";5608
"2020";"Oulu";"Rivitalot";1775
"2020";"Oulu";"Kerrostalot";2245
"2020";"Turku";"Rivitalot";2607
"2020";"Turku";"Kerrostalot";2668
"2020";"Vantaa";"Rivitalot";3028
"2020";"Vantaa";"Kerrostalot";2887
"2021";"Espoo";"Rivitalot";3898
"2021";"Espoo";"Kerrostalot";4020
"2021";"Helsinki";"Rivitalot";3882
"2021";"Helsinki";"Kerrostalot";5972
"2021";"Oulu";"Rivitalot";1861
"2021";"Oulu";"Kerrostalot";2311
"2021";"Turku";"Rivitalot";2769
"2021";"Turku";"Kerrostalot";2865
"2021";"Vantaa";"Rivitalot";3197
"2021";"Vantaa";"Kerrostalot";2963
"2022";"Espoo";"Rivitalot";4022
"2022";"Espoo";"Kerrostalot";4145
"2022";"Helsinki";"Rivitalot";4046
"2022";"Helsinki";"Kerrostalot";5993
"2022";"Oulu";"Rivitalot";1979
"2022";"Oulu";"Kerrostalot";2388
"2022";"Turku";"Rivitalot";2848
"2022";"Turku";"Kerrostalot";2965
"2022";"Vantaa";"Rivitalot";3319
"2022";"Vantaa";"Kerrostalot";3044
"2023";"Espoo";"Rivitalot";3802
"2023";"Espoo";"Kerrostalot";3936
"2023";"Helsinki";"Rivitalot";3840
"2023";"Helsinki";"Kerrostalot";5543
"2023";"Oulu";"Rivitalot";1955
"2023";"Oulu";"Kerrostalot";2250
"2023";"Turku";"Rivitalot";2871
"2023";"Turku";"Kerrostalot";2823
"2023";"Vantaa";"Rivitalot";3084
"2023";"Vantaa";"Kerrostalot";2784
"2024";"Espoo";"Rivitalot";3775
"2024";"Espoo";"Kerrostalot";3908
"2024";"Helsinki";"Rivitalot";3697
"2024";"Helsinki";"Kerrostalot";5328
"2024";"Oulu";"Rivitalot";1966
"2024";"Oulu";"Kerrostalot";2265
"2024";"Turku";"Rivitalot";2753
"2024";"Turku";"Kerrostalot";2765
"2024";"Vantaa";"Rivitalot";2979
"2024";"Vantaa";"Kerrostalot";2574
